,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
0,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
1,Bel appartement à louer,4 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e1f1c098ec15e374a5c74f9a973f17d0/-/horizon-files-prod/ed/picture/qrz2gg09/d23842a71614df2d99e1b25538d019041eace89d.jpg,"['Mbao,', 'Dakar']","Aujourd'hui, 16:48","['160', '000 F Cfa']"
2,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
3,Appartement de luxe à louer à ngor,3 chambre,160 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/10e570babacef496e66c0fc740e9732b/-/horizon-files-prod/ed/picture/qgq5pngn/7a363ab475193dc56461de68a59f2a1e5943f140.jpg,"['Ngor,', 'Dakar']","Aujourd'hui, 13:35","['400', '000 F Cfa']"
4,Appartement neuf à louer cité keur Gorgui,3 chambre,130 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e23b9dfac27f067ee565cf54b4a08d58/-/horizon-files-prod/ed/picture/q6wmv4p/4ee68acfe64ff5c1712c48ee4b83683deca7a2a0.jpg,"['Cité keur gorgui,', 'Dakar']","Aujourd'hui, 08:36","['550', '000 F Cfa']"
5,Magnifique appartement mamelles cité magistrats,3 chambre,280 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/015874ae755dc8ed942e19b5ff74311c/-/horizon-files-prod/ed/picture/q78ve5pz/f9de04e8ea069f640bd3ced48ad6a960322641a5.jpg,"['Mamelles,', 'Dakar']","Aujourd'hui, 08:36","['700', '000 F Cfa']"
6,Appartement haut de gamme sur Fenetre mermoz,3 chambre,190 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/440a5c99838bb9e597a902208dcc2d04/-/horizon-files-prod/ed/picture/qnrnkrr/aa9e36d3aa133b915e340b5382e2ade9c3fe653e.jpg,"['Fenêtre mermoz,', 'Dakar']","Aujourd'hui, 08:36","['1', '400', '000 F Cfa']"
7,Studio a louer avec les meubles aux mamelles,1 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/de8c3a2773311a19159b931e282b887b/-/horizon-files-prod/ed/picture/q0gp7xmx/f3a4a5735ebb35b993820713346f46b1c3afd99b.jpg,"['Mamelles,', 'Dakar']","samedi, 17:21","['480', '000 F Cfa']"
8,Appartement f4 à louer à la cité biagui,3 chambre,160 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1462221ff7a678b01a6dbec0cc1b59f7/-/horizon-files-prod/ed/picture/qzv2ngk8/64d75bcfdefd683c0e1458c08efc0fdbf431341c.jpg,"['Cité biagui,', 'Dakar']","Hier, 14:46","['450', '000 F Cfa']"
9,Appartement à louer aux Almadies,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/efc1113cce3412820e7135163944297f/-/horizon-files-prod/ed/picture/qmwm4k6/f09e79d20bb06300863e512fadb135473230805b.jpg,"['Almadies,', 'Dakar']","Hier, 11:55","['1', '500', '000 F Cfa']"
10,Appartement 3 pièces à Mariste,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d37cd683375c923bbc5bbb4dac8c2c66/-/horizon-files-prod/ed/picture/q0mm5pg/d4ad87a71d981810addf2fc04ff3d7074781205e.jpg,"['Hann maristes,', 'Dakar']","Hier, 10:16","['225', '000 F Cfa']"
11,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
12,Joli appartement F5 a Ngor Almadies,4 chambre,250 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/964f3eb7f31e54441cd5624eff0d8c37/-/horizon-files-prod/ed/picture/qgvdvv0/fd81334b844ccef376c3f30e69ea70bc793d4796.jpg,"['Ngor,', 'Dakar']","Hier, 10:07","['900', '000 F Cfa']"
13,Joli appartement F4 a Ngor Almadies,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a8ac842ff8fad825e64ecf8bba92227a/-/horizon-files-prod/ed/picture/q922pvp/c20fb4e6c941b26c5cbde77569aebad976dafb83.jpg,"['Ngor,', 'Dakar']","Hier, 10:07","['700', '000 F Cfa']"
14,Joli studio Ngor Almadies,1 chambre,80 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/52168adde8732095909922dd4ab9c81e/-/horizon-files-prod/ed/picture/qwemm7e5/d6e24f43f2e0004fabd6546d4930d17bdfc17476.jpg,"['Almadies,', 'Dakar']","Hier, 10:07","['275', '000 F Cfa']"
15,Appartement à louer,2 chambre,130 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d2467eb2babe6cc0ea602f3cd51f479f/-/horizon-files-prod/ed/picture/qv4m2jz5/d641ffeb64c4fe5dd8a8fe712821ac12148c1650.jpg,"['Virage,', 'Dakar']","Hier, 05:23","['700', '000 F Cfa']"
16,Appartement à louer,3 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/77d17d8891a28440816a9e150d5a9768/-/horizon-files-prod/ed/picture/qrz2gx6g/b7b408a096e93f17acb2f766466cc0d09d72311e.jpg,"['Virage,', 'Dakar']","Hier, 05:11","['1', '000', '000 F Cfa']"
17,Studio à louer,1 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ca039f6f0c480db7d86d96d7e4deb0ec/-/horizon-files-prod/ed/picture/qwemd6gp/8a0fe82ff57526366613c1af3ae10c94fe0a03b9.jpg,"['Virage,', 'Dakar']","Hier, 05:01","['500', '000 F Cfa']"
18,Résidence Edelweiss,2 chambre,74 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/bcf3c23b3afbce6d1c2a96367e8b1e9c/-/horizon-files-prod/ed/picture/qkrmj0vw/5e7f588030d9cf09c50a97e6fa01e7e8c915f869.jpg,"['Guediawaye,', 'Dakar']","Hier, 03:58","['166', '000 F Cfa']"
19,Appartement à louer à Mermoz,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cc6de8995e02f2e18ae1c3315315ae31/-/horizon-files-prod/ed/picture/qkrmwz5m/84857a9102c85cba5f4d7e08f2af4f68ad0d1cce.jpg,"['Mermoz,', 'Dakar']","Hier, 01:35","['1', '300', '000 F Cfa']"
20,Duplex à louer à sacré coeur keur gorgui,4 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/525417ce9479413c9e1cf0a731e4c1c5/-/horizon-files-prod/ed/picture/q9m0xrpv/514767163d569c52f120e4e649293d8d6554259a.jpg,"['Cité keur gorgui,', 'Dakar']","Hier, 01:25","['800', '000 F Cfa']"
21,Appartement neuf en centre ville,3 chambre,250 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cccae724707451ff27d3b12af9490bbb/-/horizon-files-prod/ed/picture/q6x7gjxv/081633e8d42f40604839a210b1a2d776c48549a6.jpg,"['Plateau,', 'Dakar']","Hier, 01:19","['2', '300', '000 F Cfa']"
22,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', ' Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
23,Appartement à louer/ parcelles unité 8,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/439014d6678041175ab8342702c0e87e/-/horizon-files-prod/ed/picture/q78vkqze/961e0342a72f0f68b550d6174d7bc5892f1cc20d.jpg,"['Parcelles Assainies,', 'Dakar']","vendredi, 20:34","['150', '000 F Cfa']"
24,Appartement à louer à Mermoz Sacré-Coeur,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5ba54a9e1f7fd22d11beb2ec52f7fdc1/-/horizon-files-prod/ed/picture/migrated/qwgwn8k/fbecd764aab6bb358ec4e48af28872601c780c30.jpg,"['Mermoz,', 'Dakar']","vendredi, 18:31","['600', '000 F Cfa']"
25,APPARTEMENT F4 A LOUER SIPRES 2 VDN,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/219ee5661e752042d5d0bee79f96ed06/-/horizon-files-prod/ed/picture/qwemdx85/28adf35af99d8f82f42b6f9c0429ba1bc9345d4c.jpg,"['VDN,', 'Dakar']","vendredi, 18:27","['750', '000 F Cfa']"
26,F4 A LOUER AUX ALMADIES,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/2d508be9e79d2aeea756ddcacfe558a9/-/horizon-files-prod/ed/picture/qv4m2r4j/69149a7b5d6b3d0a1ee84b9367efa98b28bd0657.jpg,"['Almadies,', 'Dakar']","vendredi, 16:14","['850', '000 F Cfa']"
27,DUPLEX F5 AU VIRAGE,4 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/9a6b471e689043fb585f0af2a6b51dc0/-/horizon-files-prod/ed/picture/q78vk4nq/98f9142b64b476f54e653768b46ab1a97cf14421.jpg,"['Virage,', 'Dakar']","vendredi, 15:48","['2', '000', '000 F Cfa']"
28,Joli appartement F4 climatisé au virage,3 chambre,250 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/c081adc72679453f6fe98da06f3db6c5/-/horizon-files-prod/ed/picture/qzqwwrq/66168cf0f0856c04d020761d294f0efb6766d57d.jpg,"['Virage,', 'Dakar']","vendredi, 15:35","['500', '000 F Cfa']"
29,F4 AUX ALMADIES,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/7b6e392293cbd52fcf7cd4ad824c6262/-/horizon-files-prod/ed/picture/qq4qmx06/e4d77513dfcf03032169ed1d98de5bdaa0e0f4d4.jpg,"['Almadies,', 'Dakar']","vendredi, 15:23","['1', '200', '000 F Cfa']"
30,F3 A LOUER AUX ALMADIES,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/6f00d596df6ed9e938b330fc51a13463/-/horizon-files-prod/ed/picture/qder5mk0/9066f81160c141c610cbe4cc77c5c01c5beab006.jpg,"['Almadies,', 'Dakar']","vendredi, 14:55","['650', '000 F Cfa']"
31,Appartement de standing aux almadies,2 chambre,1 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/0d4d7b99f81ce0d43b4922f78e3400d1/-/horizon-files-prod/ed/picture/qkrmwnzz/cfda9fe9c75f76a0e88529c3d5792c781f2773b4.jpg,"['Almadies,', 'Dakar']","vendredi, 14:50","['500', '000 F Cfa']"
32,Appartement de standing à louer aux Almadies,3 chambre,180 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e5364cffa683b1e1ca4e0a15ae014e40/-/horizon-files-prod/ed/picture/qwqwkpp/b2eee7f6d2433bafd21c88e517812b83b5269034.jpg,"['Almadies,', 'Dakar']","vendredi, 13:52","['700', '000 F Cfa']"
33,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
34,Appartement standing neuf à Ouakam monument,2 chambre,120 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/71f60c38bc41676cb2606bf9f3e59961/-/horizon-files-prod/ed/picture/qdp4e47/1129525b6e6170bdd136b1e55b10339b2bcc2c2c.jpg,"['Ouakam,', 'Dakar']","vendredi, 13:51","['400', '000 F Cfa']"
35,Ravissant F2 vue mer proche lycée Jean Mermoz,1 chambre,50 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/230d6585c0bd4fb020488f4903801f5e/-/horizon-files-prod/ed/picture/q8v0jrp9/330dab4a83f37fbccaf338463d7b1624caf563de.jpg,"['Ouakam,', 'Dakar']","vendredi, 15:31","['1', '200', '000 F Cfa']"
36,Appartement à louer,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/36c31926c1495f506de3902654246940/-/horizon-files-prod/ed/picture/qrz2gmrg/b03cc83d196684184786311c1399d898acc8f66c.jpg,"['Mermoz,', 'Dakar']","vendredi, 12:59","['600', '000 F Cfa']"
37,Villa a louer,5 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/7e516070903a6d9884a638f3e0835c12/-/horizon-files-prod/ed/picture/qgq5v7mq/78f216d62cd57187799405349322876df7d84935.jpg,"['Liberte 6 extension,', 'Dakar']","vendredi, 12:43","['750', '000 F Cfa']"
38,Appartement meublée de type F4,3 chambre,170 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/08b6725b570c6b088f4c0802932faa87/-/horizon-files-prod/ed/picture/qpdpxrgm/3e9dc20045f30d9d8a46ac7968e088fd72a2e667.jpg,"['Ngor,', 'Dakar']","vendredi, 12:41","['1', '300', '000 F Cfa']"
39,Appartement de type F4 à louer,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ec385c860d6a324c594fc47bcfec53d7/-/horizon-files-prod/ed/picture/q6x7g8kz/f8d02c1de2efb00f2a25e1827620fe07ee565085.jpg,"['Ngor,', 'Dakar']","vendredi, 12:27","['850', '000 F Cfa']"
40,Grand appartement à louer au point e,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/00d63da39cc5dd43c6b6dad7798707ff/-/horizon-files-prod/ed/picture/qng5e8dx/8854d3151bb61ced3b532e7772ff32ecc8672b11.jpg,"['Point-e,', 'Dakar']","vendredi, 12:19","['500', '000 F Cfa']"
41,Appartement 3 chambres salon mamelles,3 chambre,125 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1ffa975dfbd9ac3714b0124e620d1983/-/horizon-files-prod/ed/picture/qzv2k6pv/26762e6020e42d55c688ea4e9fae5bdc28dae616.jpg,"['Mamelles,', 'Dakar']","vendredi, 11:14","['350', '000 F Cfa']"
42,Appartements aux mamelles,3 chambre,1 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d0fad60dd367cc14913677051179e990/-/horizon-files-prod/ed/picture/q0gpjrkm/7f75fc254af0f55472fcd3ba0ae58241bdf52cf5.jpg,"['Mamelles,', 'Dakar']","vendredi, 10:33","['450', '000 F Cfa']"
43,Appartement 3 pièces à Pikine,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/33f05c8dcfd098d86f2aa0a2f9b30b3c/-/horizon-files-prod/ed/picture/q78ver7j/3cd9d8fa033f7b7b64b58990f6fcd758f61df517.jpg,"['Pikine,', ' Dakar']","vendredi, 09:11","['150', '000 F Cfa']"
44,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
45,Appartement 4 chambres salon à mermoz,4 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/32bc394e5452ceae572e87812066f23a/-/horizon-files-prod/ed/picture/q0gpqzgd/14116ba1e52c260de822acae62a5a65e99ace979.jpg,"['Mermoz,', 'Dakar']","jeudi, 18:54","['1', '000', '000 F Cfa']"
46,Appartement à louer à sacré coeur,3 chambre,165 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1935a22f31f7c7c496588fb964db0079/-/horizon-files-prod/ed/picture/q826wer/9c6b74d745f15f12500b9de801468f7bf05ea2b1.jpg,"['Mermoz,', ' Dakar']","jeudi, 17:47","['700', '000 F Cfa']"
47,F4 A LOUER A KOUNOUNE,3 chambre,145 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/bf7d858776a8a715b621df1215073d66/-/horizon-files-prod/ed/picture/qxjd5xem/d427b2b62cb282e88aa4dfcbfa8e0482f9bf9c14.jpg,"['Kounoune,', 'Dakar']","jeudi, 17:16","['150', '000 F Cfa']"
48,Appartement à louer,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/2f1177c21a234fa5523639751739437e/-/horizon-files-prod/ed/picture/qng542kw/cb6efa2986b5b3d6ebc231f6a95646d5f0dc3d08.jpg,"['Point-e,', 'Dakar']","jeudi, 16:56","['850', '000 F Cfa']"
49,Villa a louer,5 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/bfc5b83e24865f0fd06140e07f4a449c/-/horizon-files-prod/ed/picture/qq4qmg8v/de9698459a4a37db2c2dfd51371f1e51b3c7aace.jpg,"['Yoff,', 'Dakar']","jeudi, 16:29","['1', '500', '000 F Cfa']"
50,Appartement 3 chambres salon au point E,3 chambre,156 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/06f14e0cf74a3fa30e00779c51e4e3c6/-/horizon-files-prod/ed/picture/qm5mzd4g/af5e7f7048f49c373b2f1c6b7ab5161c5b709e4b.jpg,"['Point-e,', 'Dakar']","jeudi, 16:02","['850', '000 F Cfa']"
51,F3 A LOUER AUX MAMELLES CITE MBACKIYOU FAYE,2 chambre,78 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5a7cd9c215c343375416bba15964944e/-/horizon-files-prod/ed/picture/q78vkpxz/033b68696e7a8073aab3f79aa8f86aaf4c319609.jpg,"['Mamelles,', 'Dakar']","jeudi, 15:58","['350', '000 F Cfa']"
52,Appartement f4 à mermoz pyrotechnique,150 m²,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1fb9f40b8b46e9a59b56127ab02e03ce/-/horizon-files-prod/ed/picture/qj4mn2re/71b8502898e19c7af51047a41bd60d0a8c19f585.jpg,"['Mermoz,', 'Dakar']","jeudi, 15:56","['500', '000 F Cfa']"
53,Location Appartements 04 pièces - Mamelles,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/615d607406426fda55c2b845b2186698/-/horizon-files-prod/ed/picture/qpdpx8k0/1b6993d94d60f18330fa124f9a6c8017a6ddcab1.jpg,"['Mamelles,', 'Dakar']","jeudi, 15:55","['650', '000 F Cfa']"
54,Appartement avec piscine aux Almadies,3 chambre,160 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e409aad7ac160d968a2967f6d8cb81c4/-/horizon-files-prod/ed/picture/q2jz450e/1a62caa5cea96783fd3b051fa9889ca6079f8be9.jpg,"['Almadies,', 'Dakar']","jeudi, 15:50","['1', '000', '000 F Cfa']"
55,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
56,Appartement 3 chambres salon mermoz,150 m²,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5483d12dd9bed7f499b1f45d82411ed6/-/horizon-files-prod/ed/picture/qrz2g57q/d5991fb9c35bb543c2fc9d11906652af4fbd360c.jpg,"['Mermoz,', 'Dakar']","jeudi, 15:50","['550', '000 F Cfa']"
57,Appartement a louer,3 chambre,12 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/57cc1928d992b68b56451a147c976e12/-/horizon-files-prod/ed/picture/qkrmw20p/5b26dc9555334ca6844b3eb590daa754ee32e278.jpg,"['Mermoz,', 'Dakar']","jeudi, 15:40","['500', '000 F Cfa']"
58,Trois chambres à louer par mois,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a07ce3802b0abcc8ce2941dd664cb09b/-/horizon-files-prod/ed/picture/qend0gzv/950f1c3183cebb1a961f5016544beb563cef5c11.jpg,"['Mamelles,', 'Dakar']","jeudi, 10:48","['350', '000 F Cfa']"
59,Appartement à louer,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/7b3420e5d68467e6386d76fe0a71595e/-/horizon-files-prod/ed/picture/qend6d62/ef37e974ccf516b46c7d95cc0536c5cb8d606d20.jpg,"['Yoff,', 'Dakar']","jeudi, 10:23","['450', '000 F Cfa']"
60,Appartement à louer au centre ville,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ad521ec4285d9a53a67a9612eeca0b3c/-/horizon-files-prod/ed/picture/q78ve0je/06acf9d16c476337068b0f3d75f8828658024338.jpg,"['Plateau,', 'Dakar']","jeudi, 09:35","['1', '100', '000 F Cfa']"
61,Appartement f3 à louer à ouest foire,2 chambre,120 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/76eccde9442197ffa42bdb3e0bf3d80a/-/horizon-files-prod/ed/picture/qpdpe42m/aff561491af91cc4eba3273e52a43778c746a9aa.jpg,"['Ouest foire,', 'Dakar']","jeudi, 08:53","['200', '000 F Cfa']"
62,Appartement à louer à Fann,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/324c23abb3da5d0906e3fdb7588ea0ee/-/horizon-files-prod/ed/picture/migrated/q95wqpp/2a9b9d3c84f38e16d5a36ec277423ad29bbb3507.jpg,"['Fann,', 'Dakar']","jeudi, 08:25","['1', '700', '000 F Cfa']"
63,Duplex piscine jardin à louer virage,3 chambre,300 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/36e06d946f69b9f2be67fe77cd5541b2/-/horizon-files-prod/ed/picture/qq4qk9pw/60aa9bc501c91f6e0965043560cebb8cd127f33b.jpg,"['Virage,', 'Dakar']","jeudi, 08:22","['2', '000', '000 F Cfa']"
64,Appartement 4 chambres salon à louer almadies,4 chambre,350 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a4b4284e8652b141f8844e53e3ef2787/-/horizon-files-prod/ed/picture/qv4mv2kk/595108b09ad8a0a167f6e6aeb1c87d409df47204.jpg,"['Almadies,', 'Dakar']","jeudi, 08:22","['2', '000', '000 F Cfa']"
65,Appartement spacieux à Sipres en face SENGOLD,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cce36f9eb3bb24f19e35269016cd7161/-/horizon-files-prod/ed/picture/q9pd77x/435055f82cc9a626a33195cc34f4dfb132863e06.jpg,"['VDN,', 'Dakar']","jeudi, 08:17","['450', '000 F Cfa']"
66,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
67,Appartement à louer,3 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/09c9d550e4e186be56e0eba7dcd1a6a4/-/horizon-files-prod/ed/picture/q56wmrve/220accd8bd6c885d5a859894521d3a00e03dd200.jpg,"['VDN,', 'Dakar']","jeudi, 04:52","['500', '000 F Cfa']"
68,Appartement F4 à louer onomo hanagr pelerin,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/25d1f17c0146de88eed9e245163a5a58/-/horizon-files-prod/ed/picture/qjw9d2g/73215405b8742da5b02c2fdea72adc9183188456.jpg,"['Virage,', 'Dakar']","jeudi, 00:16","['750', '000 F Cfa']"
69,F2 A LOUER AU POINT E,1 chambre,72 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d877b59c306ec6ee461e5f76ba4c8784/-/horizon-files-prod/ed/picture/q78vkjeq/6c4e5f7c9ee3f1ad877e8944e43bab6ca39e6589.jpg,"['Point-e,', 'Dakar']","mercredi, 17:33","['600', '000 F Cfa']"
70,magnifique f4 vue mer/piscine,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d1c7416045859a11a1d15b68481f8c24/-/horizon-files-prod/ed/picture/qqp066k/f699d71db999ba80bd439ea469de7f7caa31cbe9.jpg,"['Mamelles,', 'Dakar']","mercredi, 17:06","['1', '500', '000 F Cfa']"
71,Appartement à louer à Sacré-Coeur 2,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/33022fce0b12e7e25202b70761778e0e/-/horizon-files-prod/ed/picture/qwemdr6k/a8ea8dd6403eaa7aa34a165a5799efac7fb6df59.jpg,"['Sacré-cœur,', 'Dakar']","mercredi, 15:29","['300', '000 F Cfa']"
72,Duplex neuf à louer aux almadies (zone de Recagement),2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a89d2cb671db7c2ac091f55de871b839/-/horizon-files-prod/ed/picture/q6x7gq08/bdcec2df6e6b7fd010d63a87d6af9ddf941565c2.jpg,"['Almadies,', 'Dakar']","mercredi, 16:57","['500', '000 F Cfa']"
73,F4 A LOUER AU POINT E,3 chambre,145 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a0a6665d5e9b1d356cfcc45be12f4880/-/horizon-files-prod/ed/picture/q56wmpj5/61375a1fff3013506dbdea775715f09855e25ddf.jpg,"['Point-e,', 'Dakar']","jeudi, 09:30","['1', '700', '000 F Cfa']"
74,F4 A LOUER A MERMOZ,3 chambre,145 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ae7452bedd77797e38539572ed57f89c/-/horizon-files-prod/ed/picture/qrz2gre4/a917d68a66373df5c082038cfc5a5f7075eca198.jpg,"['Mermoz,', 'Dakar']","mercredi, 16:00","['2', '500', '000 F Cfa']"
75,Bel appartement 2 chambres aux mamelles corniche,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/0d29e7e6eeea16c519bc7843afeb7e1a/-/horizon-files-prod/ed/picture/qng549e0/12cde8b03648ac9a69430bdc083dcbcdbddd2cb4.jpg,"['Mamelles,', 'Dakar']","mercredi, 15:44","['475', '000 F Cfa']"
76,Appartement à louer à Sacré-Coeur 3,4 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/72e11ea014280c845af12cc7dd2cd3cc/-/horizon-files-prod/ed/picture/qkrmw7zz/bd4d0965622c298b6d36b0c9e6f991010850f823.jpg,"['Sacré-cœur,', ' Dakar']","mercredi, 15:34","['500', '000 F Cfa']"
77,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
