,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
335,Studio neuf à louer cité mourtada vdn,1 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/b292012f65eeb93326c3f81a6dd219cd/-/horizon-files-prod/ed/picture/q9m0xerv/43cfc38a83ce0b8e8dc20edebbece4c34eaa6981.jpg,"['VDN,', 'Dakar']","2. déc. '22, 15:59","['250', '000 F Cfa']"
336,Appartement neuf à zac mbao,2 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/8260e338814fe0a0c6528e8daa4e1d02/-/horizon-files-prod/ed/picture/qxjdzw4j/bc9d0a4463bb28bcc1af03cea99e21a01fdd9f8f.jpg,"['Zac Mbao,', 'Dakar']","2. déc. '22, 11:53","['200', '000 F Cfa']"
337,Appartement F3 à louer sur la corniche,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5cc2bf2663a3733cd15c35a1123c812c/-/horizon-files-prod/ed/picture/q78vp5pe/e3c4645d7378f45df3209925423050f2c06f1a6a.jpg,"['Plateau,', 'Dakar']","2. déc. '22, 09:48","['275', '000 F Cfa']"
338,Grand apt de 02 ch salon 03 toilettes à louer au Mariste,2 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ebad4ea2310f268e7d0272229bd940fc/-/horizon-files-prod/ed/picture/q9m0xxrx/4b4b1b38a45fb811b70ad3255d4f335b2c74957b.jpg,"['Hann maristes,', 'Dakar']","1. déc. '22, 19:29","['275', '000 F Cfa']"
339,"Appartement haut standing f5 meublé ,sis au plateau",4 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/62d350a501366097a69ab40ede9500b2/-/horizon-files-prod/ed/picture/q0mj76z/18fd86e13e88adf9cea54870f4d8a66640c30141.jpg,"['Plateau,', 'Dakar']","1. déc. '22, 18:32","['2', '200', '000 F Cfa']"
340,Appartement de standing,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/64e1588b912f5761b5f91ffcde1be466/-/horizon-files-prod/ed/picture/q0gpvvwg/fc28cad13a11bdcf583e460ec354a6a09af5214f.png,"['Fann,', 'Dakar']","1. déc. '22, 18:27","['2', '500', '000 F Cfa']"
341,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
342,Appartement grand standing aux Almadies,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/fab4dcdaccb7e65ae838b98fe6bbae49/-/horizon-files-prod/ed/picture/q44jw2p8/568b95f34f8320415fffc2dc9d9380d005ecdef0.jpg,"['Almadies,', 'Dakar']","1. déc. '22, 15:27","['1', '000', '000 F Cfa']"
343,Appartement a louer a Sacre coeur,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/f2e01ef1c888590583446f2cb78ce04c/-/horizon-files-prod/ed/picture/q44jw268/a571687c674c3f769b6cf853b421a194e7a610e1.jpg,"['Sacré-cœur,', 'Dakar']","1. déc. '22, 15:22","['250', '000 F Cfa']"
344,Appartement a louer a Sacré Coeur ( Résidence Mamoune),2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/266c6bfa8ff328ea405e4ebfb71d1e37/-/horizon-files-prod/ed/picture/qdermzdj/3f2e77bcd33b2b2d1429ca8aa58659fbe1b7e0d1.jpg,"['Sacré-cœur,', 'Dakar']","1. déc. '22, 15:17","['160', '000 F Cfa']"
