title,author,runtime
The Inferno,"Dante,Robert Hollander - translator,Jean Hollander - translator", 4 hrs and 41 mins
Palo Alto,Malcolm Harris, 28 hrs and 20 mins
Consider Me,Becka Mack, 20 hrs and 42 mins
Victory City,Salman Rushdie, 11 hrs and 48 mins
The Stories We Tell,Joanna Gaines, 5 hrs and 28 mins
The Great Reset,Alex Jones, 7 hrs and 30 mins
The Sacred Mushroom and the Cross,John M. Allegro, 10 hrs and 33 mins
The Night and Its Moon,Piper CJ, 16 hrs and 24 mins
Before I Let Go,Kennedy Ryan, 13 hrs and 45 mins
The Bill of Obligations,Richard Haass, 4 hrs and 6 mins
The Gift of the Unexpected,Jillian Benfield, 5 hrs and 54 mins
Twelve Hours' Sleep by Twelve Weeks Old,"Suzy Giordano,Lisa Abidin", 2 hrs and 41 mins
The Wealth of Nations,Adam Smith, 36 hrs and 43 mins
It's Your Ship,D. Michael Abrashoff, 6 hrs and 24 mins
Beyond Good and Evil,Friedrich Nietzsche, 8 hrs and 24 mins
Uninvited,Lysa TerKeurst, 5 hrs and 27 mins
Uncle Tom's Cabin,Harriet Beecher Stowe, 20 hrs and 8 mins
Big Little Lies,Liane Moriarty, 15 hrs and 55 mins
Talk Like TED,Carmine Gallo, 7 hrs and 42 mins
The Sun Also Rises,"Ernest Hemingway,Colm Toibin", 7 hrs and 46 mins
Life 3.0,Max Tegmark, 13 hrs and 29 mins
The Rise of Theodore Roosevelt,Edmund Morris, 26 hrs and 36 mins
"Eat, Pray, Love",Elizabeth Gilbert, 12 hrs and 49 mins
Based on a True Story,Norm Macdonald, 7 hrs and 18 mins
Unlimited Memory,Kevin Horsley, 2 hrs and 28 mins
Five Presidents,"Clint Hill,Lisa McCubbin Hill", 14 hrs and 31 mins
Feeling Good,David D. Burns MD, 13 hrs and 20 mins
In Defense of the Second Amendment,Larry Correia, 6 hrs and 49 mins
A Clash of Three Courts,Chloe C. Peñaranda, 19 hrs and 58 mins
WolfeAx,Kathryn Le Veque, 8 hrs and 15 mins
Wildflower,Drew Barrymore, 7 hrs and 5 mins
The Fire Next Time,James Baldwin, 2 hrs and 25 mins
Alice,Christina Henry, 8 hrs and 28 mins
The Choice,Dr. Edith Eva Eger, 12 hrs and 26 mins
The Last Kingdom,Steve Berry, 14 hrs and 20 mins
Irresistible,Josh Bersin, 7 hrs and 18 mins
Travels with Charley in Search of America,John Steinbeck, 7 hrs and 58 mins
Destiny of Souls,Michael Newton, 15 hrs and 50 mins
Oryx and Crake,Margaret Atwood, 10 hrs and 30 mins
In Such Good Company,Carol Burnett, 8 hrs and 1 min
Economics in One Lesson,Henry Hazlitt, 6 hrs and 55 mins
Running on Empty,"Christine Musello PsyD,Jonice Webb PhD", 7 hrs and 46 mins
Helmet for My Pillow,Robert Leckie, 10 hrs and 24 mins
The Devil's Chessboard,David Talbot, 25 hrs and 23 mins
Area 51,Annie Jacobsen, 16 hrs and 11 mins
Warrior of the Light,Paulo Coelho, 2 hrs and 16 mins
The Big Picture,Sean Carroll, 17 hrs and 22 mins
Grain Brain,"David Perlmutter,Kristin Loberg", 9 hrs and 18 mins
Flash Boys,Michael Lewis, 10 hrs and 15 mins
The Upward Spiral,Alex Korb PhD., 5 hrs and 34 mins
Emotional Agility,Susan David, 9 hrs and 21 mins
Heart-Shaped Box,Joe Hill, 11 hrs and 3 mins
Simply Said,Jay Sullivan, 5 hrs and 46 mins
The Undoing Project,Michael Lewis, 10 hrs and 18 mins
The Breakdown,B. A. Paris, 9 hrs and 20 mins
Scrappy Little Nobody,Anna Kendrick, 6 hrs
The End of Alzheimer's,Dale E. Bredesen MD, 9 hrs and 23 mins
Blood & Bones: Dodge,Jeanne St. James, 11 hrs and 10 mins
A Village Fete Murder,Katie Gayle, 6 hrs and 26 mins
The Ghost and the New Neighbor,"Bobbi Holmes,Anna J. McIntyre", 9 hrs and 6 mins
She Memes Well,Quinta Brunson, 8 hrs and 38 mins
The Teenage Brain,"Frances E. Jensen,Amy Ellis Nutt", 9 hrs and 1 min
The Prosperous Coach: Increase Income and Impact for You and Your Clients,"Steve Chandler,Rich Litvin", 4 hrs and 20 mins
The House of Hades,Rick Riordan, 17 hrs and 32 mins
Me Talk Pretty One Day,David Sedaris, 5 hrs and 51 mins
The Stone Sky,N. K. Jemisin, 14 hrs and 16 mins
The Easy Way to Stop Smoking,Allen Carr, 5 hrs and 59 mins
When Night falls,Helena Marchmont, 3 hrs and 8 mins
Back to Center,"Ryan Taylor,Joshua Harwood", 6 hrs and 2 mins
Antifragile,Nassim Nicholas Taleb, 16 hrs and 14 mins
A New Earth,Eckhart Tolle, 9 hrs and 12 mins
East of Eden,John Steinbeck, 25 hrs and 23 mins
And Then There Were None,Agatha Christie, 6 hrs and 1 min
Blink,Malcolm Gladwell, 7 hrs and 44 mins
A People's History of the United States,Howard Zinn, 34 hrs and 8 mins
The Book of Joy,"His Holiness the Dalai Lama,Desmond Tutu,Douglas Carlton Abrams", 10 hrs and 12 mins
I Know Why the Caged Bird Sings,Maya Angelou, 10 hrs and 11 mins
The Warmth of Other Suns,Isabel Wilkerson, 22 hrs and 40 mins
Alexander Hamilton,Ron Chernow, 35 hrs and 58 mins
Algorithms to Live By,"Brian Christian,Tom Griffiths", 11 hrs and 50 mins
Unbroken,Laura Hillenbrand, 13 hrs and 56 mins
Mindhunter,"John E. Douglas,Mark Olshaker", 15 hrs and 24 mins
Shogun,James Clavell, 53 hrs and 33 mins
The Grapes of Wrath,"John Steinbeck,Robert DeMott", 21 hrs and 1 min
Secrets of the Millionaire Mind,T. Harv Eker, 5 hrs and 10 mins
Girl in Pieces,Kathleen Glasgow, 10 hrs and 42 mins
Wild at Heart,John Eldredge, 8 hrs and 20 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford, 14 hrs and 20 mins
Old Man's War,John Scalzi, 9 hrs and 55 mins
Bossypants,Tina Fey, 5 hrs and 32 mins
The Tipping Point,Malcolm Gladwell, 8 hrs and 34 mins
The Power of Your Subconscious Mind,Joseph Murphy, 6 hrs and 58 mins
Gone Girl,Gillian Flynn, 19 hrs and 57 mins
Catch-22,Joseph Heller, 19 hrs and 58 mins
Leonardo da Vinci,Walter Isaacson, 17 hrs and 1 min
Titan,Ron Chernow, 35 hrs and 3 mins
Ikigai,"Héctor García,Francesc Miralles", 3 hrs and 18 mins
I Almost Forgot About You,Terry McMillan, 11 hrs and 12 mins
A Villains Collection,Serena Valentino, 12 hrs and 52 mins
The Hero with a Thousand Faces,Joseph Campbell, 14 hrs and 37 mins
The Operator,Robert O'Neill, 9 hrs and 42 mins
Napoleon,Andrew Roberts, 32 hrs and 56 mins
The Making of the Atomic Bomb,Richard Rhodes, 37 hrs and 16 mins
Speaker for the Dead,Orson Scott Card, 14 hrs and 8 mins
The State of Affairs,Esther Perel, 11 hrs and 57 mins
The Guns of August,Barbara W. Tuchman, 19 hrs and 9 mins
The Plantagenets,Dan Jones, 20 hrs and 49 mins
American Sniper,"Chris Kyle,Scott McEwan,Jim DeFelice", 10 hrs and 18 mins
Undaunted Courage,Stephen E. Ambrose, 21 hrs and 40 mins
Psychopath Free: Expanded Edition,Jackson MacKenzie, 7 hrs and 57 mins
Long Walk to Freedom,Nelson Mandela, 27 hrs and 39 mins
Recovery,Russell Brand, 7 hrs and 50 mins
The Danish Way of Parenting,"Jessica Joelle Alexander,Dissing Sandahl", 3 hrs and 28 mins
Crossroads,Irene Hannon, 5 hrs and 52 mins
Into the Wild,Erin Hunter, 7 hrs and 29 mins
Stamped from the Beginning,Ibram X. Kendi, 19 hrs and 8 mins
Exile,R. A. Salvatore, 10 hrs and 42 mins
One Flew Over the Cuckoo's Nest,"Ken Kesey,Robert Faggen - introduction", 10 hrs and 32 mins
Behind Her Eyes,Sarah Pinborough, 11 hrs and 29 mins
The Last Orphan,Gregg Hurwitz, 11 hrs and 46 mins
How to Raise the Perfect Dog,"Melissa Jo Peltier,Cesar Millan", 9 hrs and 31 mins
Your Consent Is Not Required,Rob Wipond, 13 hrs and 32 mins
Best Served Cold,Joe Abercrombie, 26 hrs and 29 mins
Racing with Rich Energy,"Elizabeth Blackstock,Alanis King", 9 hrs and 48 mins
A Book of Five Rings,Miyamoto Musashi, 1 hr and 39 mins
Good Boundaries and Goodbyes,Lysa TerKeurst, 7 hrs and 27 mins
Go for Stupid,Steve D. Sims, 3 hrs and 55 mins
The Mitford Affair,Marie Benedict, 10 hrs and 52 mins
Rest Is Resistance,Tricia Hersey, 5 hrs and 26 mins
The Intern,Marni Mann, 9 hrs and 51 mins
Miss Newbury's List,Megan Walker, 8 hrs and 6 mins
What Lies in the Woods,Kate Alice Marshall, 11 hrs and 16 mins
Magic Tree House Collection: Books 1-8,Mary Pope Osborne, 6 hrs and 1 min
The Duke and I,Julia Quinn, 12 hrs and 9 mins
Building a StoryBrand,Donald Miller, 4 hrs and 56 mins
Love and Respect,Dr. Emerson Eggerichs, 8 hrs and 47 mins
Rich Dad's Cashflow Quadrant,Robert T. Kiyosaki, 8 hrs and 48 mins
Astrophysics for People in a Hurry,Neil deGrasse Tyson, 3 hrs and 41 mins
The Secret History,Donna Tartt, 22 hrs and 3 mins
The Last Mrs. Parrish,Liv Constantine, 12 hrs
Eleanor Oliphant Is Completely Fine,Gail Honeyman, 11 hrs and 2 mins
"Men Are from Mars, Women Are from Venus",John Gray, 9 hrs and 28 mins
Emotional Intelligence 2.0,"Travis Bradberry,Jean Greaves", 4 hrs and 17 mins
The Golden Compass,Philip Pullman, 11 hrs and 42 mins
Punk 57,Penelope Douglas, 10 hrs and 7 mins
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone, 11 hrs and 40 mins
Cibola Burn,James S. A. Corey, 20 hrs and 7 mins
Emotional Intelligence,Daniel Goleman, 13 hrs and 32 mins
Eclipse,Stephenie Meyer, 16 hrs and 26 mins
The Greatest Salesman in the World,Og Mandino, 2 hrs and 33 mins
Siege and Storm,Leigh Bardugo, 11 hrs and 49 mins
Foundation (Apple Series Tie-in Edition),Isaac Asimov, 8 hrs and 37 mins
Grant,Ron Chernow, 48 hrs and 2 mins
"Padre Rico, Padre Pobre [Rich Dad, Poor Dad]",Robert T. Kiyosaki, 6 hrs and 24 mins
Wild,Cheryl Strayed, 13 hrs and 2 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer, 9 hrs and 9 mins
Down the Rabbit Hole,Holly Madison, 10 hrs and 51 mins
Out of Your Mind,Alan Watts, 14 hrs and 22 mins
The Shadow of What Was Lost,James Islington, 25 hrs and 28 mins
The Goldfinch,Donna Tartt, 32 hrs and 24 mins
The 4-Hour Body,Timothy Ferriss, 3 hrs and 51 mins
"The Civil War: A Narrative, Volume I, Fort Sumter to Perryville",Shelby Foote, 42 hrs and 58 mins
Lincoln in the Bardo,George Saunders, 7 hrs and 25 mins
Black Founder,Stacy Spikes, 8 hrs and 35 mins
In His Corner,Alexandra Warren, 8 hrs and 9 mins
Death of a Traitor,"M. C. Beaton,R.W. Green", 6 hrs and 19 mins
The New Abnormal,Aaron Kheriaty, 9 hrs and 11 mins
An Assassin in Utopia,Susan Wels, 7 hrs and 12 mins
The Gray Man,Mark Greaney, 11 hrs and 11 mins
The Mountain Shadow,Gregory David Roberts, 33 hrs and 53 mins
Mere Christianity,C. S. Lewis, 7 hrs and 6 mins
Second Hand Curses,Drew Hayes, 9 hrs
Jesus Calling Updated and Expanded,Sarah Young, 14 hrs and 22 mins
Spare,Prince Harry The Duke of Sussex, 15 hrs and 37 mins
Love and Justice,"Jonathan Irons,Maya Moore Irons,Bryan Stevenson - foreword,Travis Thrasher", 11 hrs and 4 mins
It’s a Hard-Knock Midlife,Robyn Peterman, 6 hrs and 4 mins
Four Trials,Kelsey Soliz, 7 hrs and 14 mins
Untamed Hunger,Tiffany Roberts, 14 hrs and 52 mins
The Stolen Heir,Holly Black, 10 hrs and 9 mins
"That Sucked, Now What?",Dr. Neeta Bhushan, 10 hrs and 14 mins
Change Your Brain Every Day,Daniel Amen, 15 hrs and 8 mins
Gray War,Peter Nealen, 9 hrs and 22 mins
Things We Never Got Over,Lucy Score, 16 hrs and 1 min
The Phoenix Prophecy: Nova,Cara Clare, 7 hrs and 3 mins
The Perfectionist's Guide to Losing Control,Katherine Morgan Schafler, 10 hrs and 29 mins
Raising Emotionally Strong Boys,"David Thomas LMSW,Sissy Goff - foreword", 5 hrs and 4 mins
Long Live the Pumpkin Queen,Shea Ernshaw, 6 hrs and 28 mins
Pray First,Chris Hodges, 6 hrs and 18 mins
Menopause and the Black Woman,April S. Lily, 3 hrs and 1 min
Dispatch,Bentley Little, 12 hrs and 47 mins
Oscar Wars,Michael Schulman, 21 hrs
Destiny of a Prince,R.K. Lander, 29 hrs and 52 mins
Forgemaster,Seth Ring, 14 hrs and 30 mins
Unreasonable Hospitality,Will Guidara, 8 hrs and 37 mins
Zen and the Art of Motorcycle Maintenance (Dramatised),"Robert M. Pirsig,Peter Flannery", 1 hr and 40 mins
The Crusades,Thomas Asbridge, 25 hrs and 32 mins
The House of the Spirits,Isabel Allende, 18 hrs and 51 mins
Conan: Blood of the Serpent,S. M. Stirling, 8 hrs and 55 mins
It's Our Turn Now,Mario Murilo, 7 hrs and 15 mins
Forge the Path,"J.N. Chaney,Chris Kennedy", 10 hrs and 29 mins
Cruel Saint,Luna Kayne, 9 hrs and 47 mins
Angels and Demons,Dan Brown, 18 hrs and 28 mins
Should I Stay or Should I Go?,Ramani Durvasula PhD, 10 hrs and 46 mins
Counterstrike,Joshua Dalzelle, 8 hrs and 13 mins
The Black Prism,Brent Weeks, 21 hrs and 26 mins
The Lost Symbol,Dan Brown, 17 hrs and 47 mins
All Hallows,Christopher Golden, 10 hrs and 46 mins
La sombra de Miztlán [The Shadow of Miztlán],Jesús Escudero, 5 hrs and 7 mins
Make Space for Happiness,Tracy McCubbin, 5 hrs and 1 min
"The Innovator's DNA, Updated, with a New Preface","Jeff Dyer,Hal Gregersen,Clayton M. Christensen", 9 hrs and 12 mins
Into the Metaverse,Cathy Hackl, 5 hrs and 18 mins
Death to Deconstruction,"Joshua S Porter,John Mark Comer - contributor", 7 hrs and 58 mins
I Know Who You Are,Barbara Rae-Venter, 8 hrs and 23 mins
Geneva,Richard Armitage, 8 hrs and 54 mins
The Cairo Curse,Pepper Basham, 10 hrs and 6 mins
Be It Until You Become It,Natasha Graziano, 4 hrs and 47 mins
The Once and Future Roman Rite,Peter A. Kwasniewski, 18 hrs and 52 mins
Mine for Yours,Harloe Rae, 9 hrs and 8 mins
The Pilgrimage,Paulo Coelho, 7 hrs and 2 mins
Negotiating the Nonnegotiable,Daniel Shapiro, 8 hrs and 38 mins
Go Tell It On the Mountain,James Baldwin, 8 hrs and 45 mins
Surviving Home,A. American, 14 hrs and 8 mins
The Scapegoat,Daphné du Maurier, 13 hrs and 5 mins
Parenting from the Inside Out,"Daniel J. Siegel,Mary Hartzell", 6 hrs and 44 mins
The Mammoth Hunters,Jean M. Auel, 31 hrs and 44 mins
Unravel Me,Tahereh Mafi, 11 hrs and 53 mins
The Leadership Challenge Sixth Edition,"James M. Kouzes,Barry Posner", 11 hrs and 4 mins
The Long Winter,Laura Ingalls Wilder, 7 hrs and 4 mins
Brain Rules for Baby (Updated and Expanded),John Medina, 9 hrs and 26 mins
The Aleister Crowley Manual,Marco Visconti, 4 hrs and 54 mins
"Guided Meditations for Anxiety, Stress, Depression, & Self-Healing",Crystal Miller, 10 hrs and 5 mins
The Source,James A. Michener, 54 hrs and 32 mins
A Distant Mirror,Barbara W. Tuchman, 28 hrs and 38 mins
The Ultimate Sales Machine,Chet Holmes, 9 hrs and 13 mins
Fool's Errand,Robin Hobb, 25 hrs and 18 mins
Into the Wilderness,Sara Donati, 30 hrs and 13 mins
Cómo Cerrar Ciclos en una Relación Tóxica [How to Close Cycles in a Toxic Relationship],Nikky W. Lewis, 1 hr and 13 mins
Harder Betrayal,Penelope Sky, 7 hrs and 11 mins
A Broken Blade,Melissa Blair, 13 hrs and 21 mins
Hidden Demons,Margery B. Metzger, 7 hrs and 52 mins
A Hypnotist’s Journey to the Secrets of the Sphinx,Sarah Breskman Cosme, 9 hrs and 37 mins
The Villa,Rachel Hawkins, 7 hrs and 57 mins
Men with Adult ADHD,Edgar Wise, 3 hrs and 50 mins
"Really Good, Actually",Monica Heisey, 10 hrs and 13 mins
Patterns in the Dark,Lindsay Buroker, 9 hrs and 35 mins
Cop Daddy Next Door,Taryn Quinn, 8 hrs and 27 mins
City of the Dead,James Ponti, 7 hrs and 1 min
End of Story,Kylie Scott, 9 hrs and 2 mins
Prince of Song & Sea,Linsey Miller, 7 hrs and 28 mins
How to Lose at Love: Colter Brothers,Sara Ney, 10 hrs and 50 mins
Dragon Wing,"Margaret Weis,Tracy Hickman", 16 hrs and 36 mins
Beholding,Strahan Coleman, 5 hrs and 41 mins
Call Me by Your Name,André Aciman, 7 hrs and 48 mins
Murder Book,Thomas Perry, 11 hrs and 35 mins
Smolder,Laurell K. Hamilton, 13 hrs
Until You Can't,Brittney Sahin, 11 hrs and 1 min
It Ends with Us,Colleen Hoover, 11 hrs and 11 mins
Parkinson's and the B1 Therapy,Daphne Bryan PhD, 2 hrs and 19 mins
The Score,Kristen Proby, 6 hrs and 24 mins
A Man of Good Fortune,Ali Scott, 9 hrs and 34 mins
One-Armed Beasthunter 2,E.M. Hardy, 9 hrs
Devil's Way,Robert Bryndza, 9 hrs and 3 mins
Flip the Switch,Coach Micheal Burt, 6 hrs and 27 mins
Parenting,"Andy Stanley,Sandra Stanley", 5 hrs and 7 mins
Elvis and Me,Priscilla Beaulieu Presley, 7 hrs and 30 mins
Twisted Hate,Ana Huang, 15 hrs
The Obesity Fix,"James DiNicolantonio,Siim Land", 6 hrs and 53 mins
The Trouble with Secrets,Jean Grainger, 7 hrs and 56 mins
Obsession,"Cassie Hargrove,Story Brooks", 5 hrs and 28 mins
Why Are All the Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum, 13 hrs and 27 mins
Children of the Mind,Orson Scott Card, 13 hrs and 30 mins
Buddha's Brain,"Rick Hanson,Richard Mendius MD", 6 hrs and 58 mins
A Place to Land,Lauren K. Denton, 8 hrs and 57 mins
Arrows and Apologies,Sav R. Miller, 10 hrs and 1 min
Inside Delta Force,Command Sergeant Major Eric L. Haney, 13 hrs and 1 min
"I, Robot",Isaac Asimov, 8 hrs and 20 mins
Living with a SEAL,Jesse Itzler, 5 hrs and 18 mins
Ghost of Deceit,Alice Winters, 8 hrs and 48 mins
The In-Laws,Laura Wolfe, 10 hrs and 13 mins
I'm Glad My Mom Died,Jennette McCurdy, 6 hrs and 26 mins
Ordinary Grace,William Kent Krueger, 10 hrs and 59 mins
All the Dangerous Things,Stacy Willingham, 10 hrs
Callsign Valkyrie,"Jason Anspach,Nick Cole,Walt Robillard", 11 hrs and 21 mins
Queen of Myth and Monsters,Scarlett St. Clair, 12 hrs and 10 mins
The Mistress Next Door,Lesley Sanderson, 8 hrs and 22 mins
The Storm Before the Storm,Mike Duncan, 10 hrs and 13 mins
Accord,Daniel Schinhofen, 12 hrs and 58 mins
Olive and Oak,Aubree Pynn, 2 hrs and 11 mins
Dead Meat,Nick Clausen, 38 hrs and 9 mins
The Threadlight Trilogy,Zack Argyle, 34 hrs and 36 mins
The Ink Black Heart,Robert Galbraith, 32 hrs and 42 mins
Lost in Time,A.G. Riddle, 11 hrs and 28 mins
Battlefield of the Mind,Joyce Meyer, 6 hrs and 37 mins
Peril in Paris,Rhys Bowen, 9 hrs and 26 mins
Hunger,Roxane Gay, 5 hrs and 58 mins
Fairy Tale,Stephen King, 24 hrs and 6 mins
Investing in the Era of Climate Change,Bruce Usher, 8 hrs and 10 mins
Trends for the Twelve Signs 2023,"Raymond Merriman,Antonia Langsdorf-Merriman", 8 hrs and 38 mins
Ours,"A.K. Rose,Atlas Rose", 13 hrs and 28 mins
Lord of the Flies,William Golding, 6 hrs and 35 mins
Beneath a Scarlet Sky,Mark Sullivan, 17 hrs and 43 mins
Before They Are Hanged,Joe Abercrombie, 22 hrs and 39 mins
33 Strategies of War,Robert Greene, 27 hrs and 30 mins
Elon Musk,Ashlee Vance, 13 hrs and 23 mins
Little Fires Everywhere,Celeste Ng, 11 hrs and 27 mins
Little House in the Big Woods,Laura Ingalls Wilder, 3 hrs and 41 mins
Braiding Sweetgrass,Robin Wall Kimmerer, 16 hrs and 44 mins
Secret Sin,Jill Ramsower, 3 hrs and 2 mins
Curse of Riches,Claire Prentice, 9 hrs and 7 mins
Secretly Yours,Tessa Bailey, 10 hrs and 49 mins
The Galveston Diet,Mary Claire Haver, 5 hrs and 33 mins
A Thousand Splendid Suns,Khaled Hosseini, 11 hrs and 43 mins
"Thinking, Fast and Slow",Daniel Kahneman, 20 hrs and 2 mins
The Nature of Oaks,Douglas W. Tallamy, 4 hrs and 16 mins
Black Privilege,Charlamagne Tha God, 7 hrs and 46 mins
Get the Guy,Matthew Hussey, 7 hrs and 59 mins
Market Wizards,"Jack D. Schwager,Bruce Kovner,Richard Dennis,Paul Tudor Jones,Michael Steinhardt,Ed Seykota,Marty Schwartz,Tom Baldwin", 14 hrs and 41 mins
The Host,Stephenie Meyer, 23 hrs
"The Bad Beginning, A Multi-Voice Recording",Lemony Snicket, 2 hrs and 29 mins
Mafia Democracy,Michael Franzese, 5 hrs and 40 mins
Skill,David Greene, 13 hrs and 49 mins
On Our Knees,"Phil Wickham,Matt Litton", 3 hrs and 32 mins
Jellyfish Age Backwards,Nicklas Brendborg, 7 hrs and 15 mins
Tournament of Shadows Collection,Tilly Wallace, 23 hrs and 12 mins
Thought Reform and the Psychology of Totalism,Robert Jay Lifton, 19 hrs and 23 mins
Expanding the Borders of Zion,Charlie Bird, 5 hrs and 27 mins
The Winners,Fredrik Backman, 21 hrs and 22 mins
Portals,Douglas E. Richards, 12 hrs and 50 mins
Esperando al diluvio,Dolores Redondo, 16 hrs and 16 mins
Gothikana,RuNyx, 10 hrs and 37 mins
Tsunami,"L.T. Ryan,Brian Shea", 6 hrs and 34 mins
The Parenting Map,Shefali Tsabary, 14 hrs and 14 mins
The Name of the Wind,Patrick Rothfuss, 27 hrs and 55 mins
Every Man a King,Walter Mosley, 7 hrs and 57 mins
Tower of Basel,Adam LeBor, 10 hrs and 11 mins
The Witch of Tin Mountain,Paulette Kennedy, 10 hrs and 27 mins
8 Rules of Love,Jay Shetty, 10 hrs and 11 mins
Seven Years in Tibet,"Heinrich Harrer,Richard Graves", 11 hrs and 38 mins
Supernatural Inc.: Book 1,Simon Archer, 7 hrs and 36 mins
Next-Level Metabolism,Jade Teta, 9 hrs and 18 mins
Brutal Intentions,Lilith Vincent, 7 hrs and 25 mins
A Cult of One,Richard Grannon, 4 hrs and 31 mins
Winning the Week,"Carey Bentley,Demir Bentley", 5 hrs and 20 mins
Taking Stock,Jordan Grumet MD, 5 hrs and 51 mins
Re: Trailer Trash,FortySixtyFour, 25 hrs and 35 mins
Encore in Death,J. D. Robb, 13 hrs and 47 mins
Simply Lies,David Baldacci, 12 hrs
And There Was Light,Jon Meacham, 17 hrs and 49 mins
Chip War,Chris Miller, 12 hrs and 38 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry, 8 hrs and 49 mins
Cómo educar niños con déficit de atención [How to Educate Children with Attention Deficit Disorder],Miguel Rodriguez, 5 hrs and 25 mins
The Mistake,Elle Kennedy, 10 hrs and 12 mins
The Southern Lawyer,Peter O'Mahoney, 8 hrs and 34 mins
IntraConnected,Daniel J. Siegel MD, 13 hrs and 8 mins
Timothy Keller,Collin Hansen, 14 hrs and 16 mins
Beyond the Wand,Tom Felton, 6 hrs and 36 mins
Healing Hearts at Bumblebee Barn,Jessica Redland, 9 hrs and 21 mins
Sacred Marriage,Gary Thomas, 7 hrs and 43 mins
Hard to Break,Michael Ledwidge, 7 hrs and 23 mins
The Creative Act,Rick Rubin, 5 hrs and 44 mins
Carrie Soto Is Back,Taylor Jenkins Reid, 10 hrs and 30 mins
The Marriage Portrait,Maggie O'Farrell, 13 hrs and 21 mins
"Avatar, the Last Airbender: The Dawn of Yangchen",F. C. Yee, 11 hrs and 11 mins
All Things Aside,Iliza Shlesinger, 6 hrs and 16 mins
The Sisters of Sea View,Julie Klassen, 15 hrs and 32 mins
Breaking Stone,Dakota Willink, 9 hrs and 32 mins
The Scinterian's Dream: 2nd Chronicles of Arianthem II,Samantha Sabian, 8 hrs and 16 mins
Warlord of the Nightmare Realm,Doc Spears, 10 hrs and 47 mins
Drained,Suzanne Ferrell, 11 hrs and 16 mins
Head On,Larry Csonka, 10 hrs and 1 min
The Whispering Room,Dean Koontz, 16 hrs and 45 mins
Beautiful Disaster,Jamie McGuire, 10 hrs and 30 mins
Magicians of the Gods,Graham Hancock, 14 hrs and 53 mins
I Hear You,Michael S. Sorensen, 2 hrs and 45 mins
Stories I Only Tell My Friends,Rob Lowe, 9 hrs and 10 mins
When Things Fall Apart,Pema Chodron, 5 hrs and 18 mins
How to Talk to Anyone,Lucas Bailey, 4 hrs and 9 mins
The Win-Win Wealth Strategy (1st Edition),Tom Wheelwright, 5 hrs and 12 mins
Patriots,James Wesley Rawles, 21 hrs and 7 mins
A Silent Fire,Shilpa Ravella, 12 hrs and 1 min
Putin's Wars,Mark Galeotti, 15 hrs and 12 mins
Murder on Mallowan Court,Lee Strauss, 4 hrs and 50 mins
"2,000 Years of Christ's Power Volume 2",Nick Needham, 15 hrs and 46 mins
Surrender,Bono, 20 hrs and 25 mins
The Nazi Conspiracy,"Brad Meltzer,Josh Mensch", 10 hrs and 42 mins
Dreamland,Nicholas Sparks, 9 hrs and 47 mins
The Girl Who Wrote in Silk,Kelli Estes, 12 hrs and 21 mins
Where the Water Goes,David Owen, 9 hrs and 26 mins
Haven 3,Misty Vixen, 6 hrs and 18 mins
Women Who Think Too Much,Susan Nolen-Hoeksema, 2 hrs and 58 mins
"Accounting for Dummies, Third Edition",John A. Tracy, 3 hrs and 12 mins
David and Goliath,Malcolm Gladwell, 7 hrs and 1 min
The Phantom,Gena Showalter, 10 hrs and 34 mins
Hitch-22,Christopher Hitchens, 17 hrs and 29 mins
Settle for More,Megyn Kelly, 10 hrs and 7 mins
A Book of Five Rings,Miyamoto Musashi, 4 hrs and 1 min
Smarter Faster Better,Charles Duhigg, 10 hrs and 23 mins
Inglés [English],Ken Xiao, 1 hr and 19 mins
The Keeper of Lost Things,Ruth Hogan, 8 hrs and 34 mins
My Sister's Keeper,Jodi Picoult, 13 hrs and 41 mins
Robinson Crusoe,Daniel Defoe, 10 hrs and 10 mins
The Misadventures of Awkward Black Girl,Issa Rae, 5 hrs and 49 mins
You Owe You,"Eric Thomas,Chris Paul - foreword", 7 hrs and 54 mins
Savage Bonds,J Bree, 10 hrs and 30 mins
The House Witch: A Humorous Romantic Fantasy,Delemhach, 17 hrs and 4 mins
The Pentagon's Brain,Annie Jacobsen, 18 hrs and 22 mins
Legacy of Ashes,Tim Weiner, 21 hrs and 37 mins
Hamlet: Fully Dramatized Audio Edition,William Shakespeare, 3 hrs and 32 mins
Devotion,Adam Makos, 14 hrs and 44 mins
Reef Road,Deborah Goodrich Royce, 8 hrs and 58 mins
The Grimkes,Kerri K. Greenidge, 15 hrs and 52 mins
Slenderman,Kathleen Hale, 9 hrs and 31 mins
Orphan X,Gregg Hurwitz, 11 hrs and 15 mins
Demon's Throne,K.D. Robertson, 15 hrs and 38 mins
The Passenger,Cormac McCarthy, 12 hrs and 44 mins
The Girl on Hallow's Eve,A.J. Rivers, 6 hrs and 52 mins
Blood Cull,John Conroe, 8 hrs and 55 mins
What's in It for Them?,Joe Polish, 6 hrs and 6 mins
Beyond Odin's Gate,Greig Beck, 10 hrs and 39 mins
