ProductName,ProductPrice,SKU,Categories,Image
Tulum Copper Dress,,BB-CAP-07-27,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/10/44A9681.jpg
Lola One Sleeve Noir Gown,,BB-12-0006,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/06/44A6994.jpg
Butterfly Gold Dress,,BB-CAP-07-04,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/11/44A2402.jpg
Mayan Copper Dress,,BB-CAP-07-25,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/10/44A1479.jpg
Anna Noir Mini Dress,,BB-REV-0001,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/11/anna-noir-mini-dress-01.jpg
Chantal Gold Dress,,BB-12-0048,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/06/44A2424.jpg
Isle Dress,,BB-CAP-07-36,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/10/44A1835.jpg
Caleta Dress,,BB-CAP-07-28,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/10/44A2485.jpg
Stella Diamond Noir Gown,,BB-12-0071,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/06/44A3527.jpg
Afiya Noir Feather Top,,BB-12-0013,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/06/44A3413.jpg
Short Feather Blanc Coat,"1,800.00",BB-15-089,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/short-feather-blanc-coat-04.jpg
Issa Noir Gown,"1,800.00",BB-12-0110,"Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/issa-noir-black-01.jpg
Goddess Gold Gown,700.00,BB-12-0047,"Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/goddess-gold-gown-01.jpg
Nefertiti Indigo Velvelt Gown,,BB-12-0008,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/06/44A3249.jpg
Florence Strapless Gold Gown,750.00,BB-12-0072,"Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/florence-strapless-gold-gown-01.jpg
Xenia Indigo Wrap Dress,880.00,BB-15-083,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/09/Xenia-Blue-3.jpeg
Xenia Lilac Wrap Dress,880.00,BB-15-084,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/09/Xenia-PinkPurple-1.jpeg
Goddess Metallic Snake Gown,700.00,BB-12-0038SNK,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/Zoe-Snake-Gown.jpeg
Daphnie Electric Pink Maxi Dress,750.00,BB-16-013,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/dahpnie-electric-pink-maxi-dress-01.jpg
Midnight Gold Gown,"1,100.00",BB-13-065,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/midnight-gold-gown-01.jpg
Jungle Maxi Dress,,BB-13-001,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/11/jungle-maxi-dress-01.jpg
Farah Strapless Gown,950.00,BB-16-058,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/farah-strapless-gown-01.jpg
Webb Electric Pink Dress,995.00,BB-16-014,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/webb-electric-pink-dress-01.jpg
Katherine Midi Dress,850.00,BB-16-056,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/katherine-midi-dress-01.jpg
Anna Light Blue Gown,"1,800.00",BB-16-057,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/anna-light-blue-gown-01.jpg
Ricky Sequins Neon Yellow Gown,850.00,BB-16-080,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/ricky-sequins-neon-yellow-gown-01.jpg
Trudy Gold Mini Dress,750.00,BB-16-088,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/trudy-gold-mini-dress-01.jpg
Gina Gold Gown,995.00,BB-16-096,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/gina-gold-gown-01.jpg
Webb Feather Mini Dress,"1,200.00",BB-16-097,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/webb-feather-mini-dress-01.jpg
Maraya Fuchsia Chameleon Sequin Midi Corset,960.00,BB-16-107,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maraya-fuchsia-chameleon-sequin-midi-corset-01.jpg
Valerie Metallic Rose Gown,850.00,BB-16-025,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/valerie-metallic-rose-gown-02.jpg
Gina Pink Gown,995.00,BB-16-002,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/gina-pink-gown-01.jpg
Caroline Pink Mini,650.00,BB-16-001,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/caroline-pink-mini-01.jpg
Megan Pink Mini Dress,480.00,BB-16-004,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/megan-pink-mini-dress-01.jpg
Electric Pink Maxi Dress,600.00,BB-16-011,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/electric-pink-maxi-dress-01.jpg
Rico Electric Pink Mini Dress,850.00,BB-16-012,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/rico-electric-pink-mini-dress-01.jpg
Capri Electric Pink Blazer,575.00,BB-16-021,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-electric-pink-blazer-01.jpg
Capri Electric Pink Bralette,280.00,BB-16-022,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-electric-pink-bralette-01.jpg
Capri Electric Pink Short,360.00,BB-16-023,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-electric-pink-short-01.jpg
