,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
68,Al-massir,(1997),None,135 min,"Comedy, Drama, History",7.2,None,"The story is set in the 12th century in Arab-ruled Spanish province Andalusia, where famed philosopher Averroes is appointed grand judge by the caliph and his liberal court judgments are ...See full summary»",Youssef Chahine,"['Youssef Chahine', 'Khairiya A-Mansour', 'Nour El-Sherif', 'Layla Olwi', 'Mahmoud Hemida', 'Safia El Emari']","2,946",None
69,Zulu Dawn,(1979),None,117 min,"Adventure, Drama, History",6.6,None,"A dramatization of the Battle of Isandlwana, where the British Army met its match against the Zulu nation.",Douglas Hickox,"['Douglas Hickox', 'Burt Lancaster', 'Simon Ward', 'Denholm Elliott', 'Peter Vaughan']","7,106",None
70,Asfour Stah,(1990),None,98 min,"Drama, Comedy",6.8,None,A coming-of-age comedy/drama set in Tunisia. Twelve-year-old Noura is an impressionable boy who must learn to reconcile two conflicting worlds - the loving world of Muslim women and the ...See full summary»,Férid Boughedir,"['Férid Boughedir', 'Selim Boughedir', 'Mustapha Adouani', 'Rabiah Ben-Abdullah', 'Mohamed Driss']","1,556",None
71,The Naked Prey,(1965),None,96 min,"Adventure, Drama, Thriller",7.3,64,"During the 1800s, a safari guide, two elephant hunters and their crew run into trouble with the natives in the South African veld when they refuse to offer gifts to the tribesmen.",Cornel Wilde,"['Cornel Wilde', 'Cornel Wilde', 'Gert van den Bergh', 'Ken Gampu', 'Patrick Mynhardt']","5,494",None
72,678,(2010),None,100 min,Drama,7.4,None,Unfolds the poignant story of three women and their search for justice from the daily plight of sexual harassment in Egypt.,Mohamed Diab,"['Mohamed Diab', 'Nilli Karim', 'Bushra', 'Maged El-Kidwani', 'Basem Samrah']","4,503",None
73,The Amazing Grace,(2006),None,100 min,"Drama, History",5.4,None,"The story of British slave trader John Newton's voyage to West Africa and the events that inspired him to write the world's most popular hymn, Amazing Grace.",Jeta Amata,"['Jeta Amata', 'Nick Moran', 'Scott Cleverdon', 'Mbong Amata', 'Fred Amata']",118,None
74,I Am Slave,(2010),None,82 min,"Biography, Drama, Thriller",6.7,None,A thriller set in London's slave trade and centered on a woman's fight for freedom.,Gabriel Range,"['Gabriel Range', 'Wunmi Mosaku', 'Isaach De Bankolé', 'Lubna Azabal', 'Igal Naor']","1,567",None
75,Red Dust,(2004),R,110 min,Drama,6.8,None,"Police officer Dirk Hendricks files an amnesty application for Alex Mpondo, a member of the South African Parliament who can't remember the torture he once endured as a captive political activist. South African-born attorney Sarah Barcant, meanwhile, returns to her homeland to represent Mpondo, as well as Steve Sizela, Mpondo's friend who was arrested along with him and never heard from again.",Tom Hooper,"['Tom Hooper', 'Jamie Bartlett', 'Hilary Swank', 'Ian Roberts', 'Chiwetel Ejiofor']","2,379",None
76,Country of My Skull,(2004),R,105 min,"Drama, Romance",6,44,A journalist and a poetess meet during the hearings of South African Truth and Reconciliation Commission.,John Boorman,"['John Boorman', 'Juliette Binoche', 'Samuel L. Jackson', 'Brendan Gleeson', 'Menzi Ngubane']","2,749",$0.16M
77,Mountains of the Moon,(1990),None,136 min,"Adventure, Drama, History",7.1,None,The legendary true-story of Capt. Richard Francis Burton and Lt. John Hanning Speke's tumultuous expedition to find the source of the Nile river.,Bob Rafelson,"['Bob Rafelson', 'Patrick Bergin', 'Iain Glen', 'Richard E. Grant', 'Fiona Shaw']","3,916",$4.01M
78,Africa United,(2010),None,88 min,"Adventure, Comedy, Drama",6.5,None,The story of four children who walk three thousand miles to get to the world cup. On the way they encounter many things such as HIV and child prostitution.,Debs Paterson,"['Debs Paterson', 'Eriya Ndayambaje', 'Roger Jean Nsengiyumva', 'Sanyu Joanita Kintu', 'Yves Dusenge']","1,486",None
79,Mister Johnson,(1990),None,101 min,Drama,6.4,None,"In 1923, a local resident of British Colonial Nigeria tries to be equal with the colonial administration.",Bruce Beresford,"['Bruce Beresford', 'Pierce Brosnan', 'Edward Woodward', 'Maynard Eziashi', 'Beatie Edney']","1,110",$1.46M
80,The Sheltering Sky,(1990),None,138 min,"Adventure, Drama",6.7,None,"An American couple travel abroad to revitalize their relationship. But as the trip drags on, their attempt at recovering what they once had seems futile.",Bernardo Bertolucci,"['Bernardo Bertolucci', 'Debra Winger', 'John Malkovich', 'Campbell Scott', 'Jill Bennett']","13,054",$2.08M
81,Catch a Fire,(2006),PG-13,101 min,"Biography, Drama, History",6.7,62,"A drama about terrorism in Apartheid-era South Africa, revolving around a policeman and a young man who carries out solo attacks against the regime.",Phillip Noyce,"['Phillip Noyce', 'Derek Luke', 'Tim Robbins', 'Bonnie Mbuli', 'Mncedisi Shabangu']","10,547",$4.29M
82,Un dimanche à Kigali,(2006),None,118 min,"Drama, War",7.2,None,"In April 1994, the middle-aged Canadian journalist Bernard Valcourt is making a documentary in Kigali about AIDS. He secretly falls in love for the Tutsi waitress of his hotel Gentille, who...See full summary»",Robert Favreau,"['Robert Favreau', 'Luc Picard', ""Fatou N'Diaye"", 'Céline Bonnier', 'Luck Mervil']",691,None
83,Professione: reporter,(1975),PG-13,126 min,"Drama, Thriller",7.5,90,"Unable to find the war he's been asked to cover, a frustrated war correspondent takes the risky path of co-opting the identity of a dead arms-deal acquaintance.",Michelangelo Antonioni,"['Michelangelo Antonioni', 'Jack Nicholson', 'Maria Schneider', 'Jenny Runacre', 'Ian Hendry']","24,287",$0.62M
84,Heatstroke,(2013),None,92 min,"Action, Thriller",4.8,None,"On a family trip in the African desert, a research scientist unintentionally travels off course and is brutally murdered by an arms dealer. His girlfriend is put to the ultimate survival ...See full summary»",Evelyn Purcell,"['Evelyn Purcell', 'Stephen Dorff', 'Svetlana Metkina', 'Maisie Williams', 'Peter Stormare']","3,233",None
85,Skin,(I) (2008),PG-13,107 min,"Biography, Drama",6.9,62,Based on the true story of a black girl who was born to two white Afrikaner parents in South Africa during the apartheid era.,Anthony Fabian,"['Anthony Fabian', 'Sophie Okonedo', 'Sam Neill', 'Alice Krige', 'Tony Kgoroge']","3,555",None
