,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
26,The Good Lie,(2014),PG-13,110 min,"Biography, Drama",7.4,65,"A group of Sudanese refugees, given the chance to resettle in the U.S., arrive in Kansas City, Missouri, where their encounter with an employment agency counselor forever changes all of their lives.",Philippe Falardeau,"['Philippe Falardeau', 'Reese Witherspoon', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal']","28,952",$2.72M
27,Stander,(2003),R,111 min,"Action, Biography, Crime",7.1,62,"The life and career of Andre Stander, a South African police officer turned bank robber.",Bronwen Hughes,"['Bronwen Hughes', 'Thomas Jane', ""David O'Hara"", 'Dexter Fletcher', 'Deborah Kara Unger']","8,795",$0.02M
28,Tabu,(I) (2012),None,118 min,"Drama, Romance",7.3,78,A restless retired woman teams up with her deceased neighbor's maid to seek out a man who has a secret connection to her past life as a farm owner at the foothill of Mount Tabu in Africa.,Miguel Gomes,"['Miguel Gomes', 'Telmo Churro', 'Miguel Gomes', 'Hortêncílio Aquina', 'Américo Mota']","7,096",None
29,The Ghost and the Darkness,(1996),R,110 min,"Adventure, Drama, Thriller",6.8,46,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,Stephen Hopkins,"['Stephen Hopkins', 'Michael Douglas', 'Val Kilmer', 'Tom Wilkinson', 'John Kani']","63,081",$38.62M
30,Die weiße Massai,(2005),None,131 min,"Drama, Romance",6.4,None,"A girl, Carola, whose vacation in Kenya takes an interesting turn when she becomes infatuated with a Masai. Carola decides to leave her boyfriend to stay with her lover. There, she has to ...See full summary»",Hermine Huntgeburth,"['Hermine Huntgeburth', 'Nina Hoss', 'Jacky Ido', 'Katja Flint', 'Antonio Prester']","3,939",None
31,Mandela: Long Walk to Freedom,(2013),PG-13,141 min,"Biography, Drama, History",7.1,60,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,Justin Chadwick,"['Justin Chadwick', 'Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']","28,217",$8.32M
32,Nirgendwo in Afrika,(2001),R,141 min,"Biography, Drama, History",7.5,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"['Caroline Link', 'Juliane Köhler', 'Merab Ninidze', 'Matthias Habich', 'Sidede Onyulo']","13,454",$6.17M
33,The Power of One,(1992),PG-13,127 min,"Drama, Sport",7.1,40,"An English boy, living in Africa during World War II, through his boxing prowess, becomes a symbol of hope, in a time of war.",John G. Avildsen,"['John G. Avildsen', 'Stephen Dorff', 'Armin Mueller-Stahl', 'Morgan Freeman', 'Nomadlozi Kubheka']","10,147",$2.83M
34,The Constant Gardener,(2005),R,129 min,"Drama, Mystery, Romance",7.4,82,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",Fernando Meirelles,"['Fernando Meirelles', 'Ralph Fiennes', 'Rachel Weisz', 'Danny Huston', 'Hubert Koundé']","142,813",$33.58M
35,The Siege of Jadotville,(2016),None,108 min,"Action, Drama, History",7.2,None,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,Richie Smyth,"['Richie Smyth', 'Richard Lukunku', 'Danny Sapani', 'Andrew Stock', 'Mark Strong']","40,676",None
36,"Cry, the Beloved Country",(1995),PG-13,106 min,"Drama, Thriller",6.8,71,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"['Darrell Roodt', 'Richard Harris', 'James Earl Jones', 'Vusi Kunene', 'Charles S. Dutton']","1,886",$0.68M
37,Doa al karawan,(1959),None,109 min,"Drama, Romance",8.1,None,"This compelling tale of love and betrayal, set in the upper Egyptian countryside, follows the story of Amna as she plots her revenge on the engineer who destroyed her family's honor.",Henry Barakat,"['Henry Barakat', 'Faten Hamamah', 'Ahmad Mazhar', 'Aminah Rizq', 'Zahrat El-Ula']","1,815",None
38,Yeelen,(1987),None,105 min,"Drama, Fantasy",7,None,A young man with magical powers journeys to his uncle to request help in fighting his sorcerer father.,Souleymane Cissé,"['Souleymane Cissé', 'Issiaka Kane', 'Aoua Sangare', 'Niamanto Sanogo', 'Balla Moussa Keita']","2,539",None
39,The Last Lions,(2011),PG,88 min,"Documentary, Family",8.2,69,"Fifty years ago there were close to half-a-million lions in Africa. Today there are around 20,000. To make matters worse, lions, unlike elephants, which are far more numerous, have ...See full summary»",Dereck Joubert,"['Dereck Joubert', 'Jeremy Irons']","4,223",$0.64M
40,Asmaa,(2011),None,96 min,Drama,8.1,None,A woman who suffers from AIDS decides not to surrender to the fatal disease. She exerts huge efforts in trying to recover or by helping those who suffer the same disease by giving them glimmers of hope.,Amr Salama,"['Amr Salama', 'Hind Sabri', 'Maged El-Kidwani', 'Hany Adel', 'Dana Abed']","4,587",None
41,London River,(2009),None,84 min,"Drama, Mystery",6.9,67,Two strangers come to discover the fate of their respective children in the 2005 terrorist attacks on London.,Rachid Bouchareb,"['Rachid Bouchareb', 'Brenda Blethyn', 'Sotigui Kouyaté', 'Sami Bouajila', 'Roschdy Zem']","3,760",$0.00M
42,Lord of War,(2005),R,122 min,"Crime, Drama",7.6,62,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,"['Andrew Niccol', 'Nicolas Cage', 'Ethan Hawke', 'Jared Leto', 'Bridget Moynahan']","320,602",$24.15M
43,District 9,(2009),R,112 min,"Action, Sci-Fi, Thriller",7.9,81,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,"['Neill Blomkamp', 'Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']","684,481",$115.65M
44,Animals Are Beautiful People,(1974),None,92 min,"Comedy, Documentary",8.2,None,Hilarious documentary on the wildlife of the Namib Desert.,Jamie Uys,"['Jamie Uys', ""Paddy O'Byrne""]","3,938",None
45,"Ali Zaoua, prince de la rue",(2000),None,99 min,"Drama, Crime",7.4,55,"A group of children living on the street leave their gang, prompting retribution from the gang's leader. After one of the children dies, the rest try to come up with the resources to give their friend a proper burial.",Nabil Ayouch,"['Nabil Ayouch', 'Mounïm Kbab', 'Mustapha Hansali', 'Hicham Moussoune', 'Abdelhak Zhayra']","2,789",None
46,Zulu,(2013),R,110 min,"Action, Crime, Drama",6.7,None,"Policemen Ali Sokhela and Brian Epkeen investigate the brutal murder of a young white woman, apparently provoked by the availability of a new illegal drug and somehow connected to the disappearance of black street children.",Jérôme Salle,"['Jérôme Salle', 'Orlando Bloom', 'Forest Whitaker', 'Conrad Kemp', 'Inge Beckmann']","19,089",None
47,When We Were Kings,(1996),PG,88 min,"Documentary, Sport",8,83,"Boxing documentary on the 1974 world heavyweight championship bout between defending champion,George Foreman, and the underdog challenger,Muhammad Ali.",Leon Gast,"['Leon Gast', 'Muhammad Ali', 'George Foreman', 'Don King', 'James Brown']","18,209",$2.79M
48,Sarafina!,(1992),PG-13,117 min,"Drama, Musical",6.3,None,South African teenagers fight against apartheid in the Soweto Uprising.,Darrell Roodt,"['Darrell Roodt', 'Whoopi Goldberg', 'Leleti Khumalo', 'Miriam Makeba', 'John Kani']","2,056",$7.31M
49,The Gunman,(2015),R,115 min,"Action, Adventure, Crime",5.8,39,"A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"['Pierre Morel', 'Sean Penn', 'Idris Elba', 'Jasmine Trinca', 'Javier Bardem']","41,764",$10.64M
