,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
182,Ndeysaan,(2001),None,90 min,Drama,7.1,None,Mythical story about a fishing village on the south coast of Senegal. Two men in the village are both in love with the same beautiful girl.,Mansour Sora Wade,"['Mansour Sora Wade', 'Hubert Koundé', 'Rokhaya Niang', 'Gora Seck', 'Alioune Ndiaye']",129,None
183,Abouna,(2002),None,84 min,Drama,6.6,70,"The lives of two brothers, who live in N'djamena, are upended when they awake one Saturday morning to find that their father has left the family. They are Amine, about eight years old, ...See full summary»",Mahamat-Saleh Haroun,"['Mahamat-Saleh Haroun', 'Ahidjo Mahamat Moussa', 'Hamza Moctar Aguid', 'Zara Haroun', 'Mounira Khalil']",706,None
184,Eau,(1997),None,12 min,Short,7.1,None,Add a Plot,Dominique Standaert,"['Dominique Standaert', 'Fifi Kikangala', 'Pierre Dherte', 'Thilombo Lubambu', 'Philippe Hakizimana']",37,None
185,L'extraordinaire destin de Madame Brouette,(2002),None,104 min,"Comedy, Romance, Drama",6.3,None,"-Mati, a divorced mother of a young daughter, makes a living selling bric-a-bric from a wheelbarrow and dreams of opening a snack bar. But she falls for the charms of Naago, a cop, and it's...See full summary»",Moussa Sene Absa,"['Moussa Sene Absa', 'Rokhaya Niang', 'Aboubacar Sadikh Ba', 'Kadiatou Sy', 'Ndeye Seneba Seck']",251,None
186,Lettre d'amour zoulou,(2004),None,100 min,Drama,6.4,None,"A militant tribute to the commitment of South African women, carried by a fierce energy marked with rage and despair.",Ramadan Suleman,"['Ramadan Suleman', 'Pamela Nomvete', 'Mpumi Malatsi', 'Sophie Mgcina', 'Kurt Egelhof']",81,None
187,Le malentendu colonial,(2004),None,78 min,Documentary,7,None,In The Colonial Misunderstanding Jean-Marie Teno sheds light on the complex and problematic relationship between colonization and European missionaries on the African continent. The film ...See full summary»,Jean-Marie Téno,['Jean-Marie Téno'],31,None
188,La nuit de la vérité,(2004),None,100 min,Drama,7.3,None,"La Nuit de la Vérité is situated in an imaginary West African country. After ten years of civil war between the government army of the Nayak, led by 'Le président', and the Bonande rebels ...See full summary»",Fanta Régina Nacro,"['Fanta Régina Nacro', 'Moussa Cissé', 'Georgette Paré', 'Adama Ouédraogo', 'Naky Sy Savane']",338,None
189,Les saignantes,(2005),None,97 min,Sci-Fi,5.9,None,"In Jean-Pierre Bekolo's barbed political satire, an infectious hybrid of horror and science fiction, vampiric femmes fatales emasculate high-ranking Cameroonian officials through ancient rituals of Mevoungou.",Jean-Pierre Bekolo,"['Jean-Pierre Bekolo', 'Adèle Ado', 'Dorylia Calmel', ""Emile Abossolo M'bo"", 'Josephine Ndagnou']",152,None
190,Delwende,(2005),None,90 min,Drama,6.5,None,Delwende draws on a true story of a mother and daughter who are accused of witchcraft following the death of a boy who had meningitis. Despite the knowledge that there is an epidemic of ...See full summary»,S. Pierre Yameogo,"['S. Pierre Yameogo', 'Blandine Yaméogo', 'Claire Ilboudo', 'Célestin Zongo', 'Abdoulaye Komboudri']",87,None
191,Bamako,(2006),None,115 min,Drama,6.7,81,"Bamako. Melé is a bar singer, her husband Chaka is out of work and the couple is on the verge of breaking up... In the courtyard of the house they share with other families, a trial court ...See full summary»",Abderrahmane Sissako,"['Abderrahmane Sissako', 'Aïssa Maïga', 'Tiécoura Traoré', 'Maimouna Hélène Diarra', 'Habib Dembélé']","1,423",$0.11M
192,Teza,(2008),None,140 min,Drama,7.1,78,The Ethiopian intellectual Anberber returns to his native country during the repressive totalitarian regime of Haile Mariam Mengistu and the recognition of his own displacement and ...See full summary»,Haile Gerima,"['Haile Gerima', 'Aaron Arefe', 'Abiye Tedla', 'Takelech Beyene', 'Teje Tesfahun']",583,None
193,Un homme qui crie,(2010),None,92 min,Drama,6.7,72,"Present-day Chad. Adam, fifty-five, a former swimming champion, is pool attendant at a smart N'Djamena hotel. When the hotel gets taken over by new Chinese owners, he is forced to give up ...See full summary»",Mahamat-Saleh Haroun,"['Mahamat-Saleh Haroun', 'Youssouf Djaoro', 'Diouc Koma', ""Emile Abossolo M'bo"", ""Hadje Fatime N'Goua""]","1,740",$0.01M
194,Viva Riva!,(2010),R,98 min,"Crime, Drama, Thriller",6.1,65,"Riva returns to his home town of Kinshasa to sell fuel, however the people whom he stole it from are close behind and when Riva tries to get with a girl her crime boss boyfriend isn't too happy about this.",Djo Munga,"['Djo Munga', 'Patsha Bay', 'Manie Malone', 'Diplome Amekindra', 'Hoji Fortuna']","1,194",$0.06M
