Author,BookTitle,Date,PriceAPaperback,PriceBkindle,Ratings,SummaryAuthor,XcoverPicture
Rou Bao Bu Chi Rou,  The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2 ,"   January 24, 2023 ", 17.99 , 9.49 ,49 ,"Rou Bao Bu Chi Rou, ,also known as ""Meatbun Doesn't Eat Meat,"" is a prolific Chinese author of danmei novels who has a passionate global fanbase and novels translated into multiple languages, including ,The Husky and His White Cat Shizun, Remnants of Filth, ,and the currently serializing, Case File Compendium.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4 ,"   September 27, 2022 ", 17.99 , 9.99 ,"1,121 ","Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3 ,"   July 26, 2022 ", 15.40 , 9.99 ,"1,489 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 4 ,"   November 1, 2022 ", 17.99 , 8.49 ,722 ,"Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
, Metro 2033 , ,," 7.99 , 33.88 - 33.90 , 15.95 , 14.99 ","5,499 ",,
Dmitry Glukhovsky,  METRO 2035. English language edition. (METRO by Dmitry Glukhovsky) ,"   December 1, 2016 ", 17.08 ," 9.99 , 14.99 ","1,984 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Nothing But Beginner Vocab: Spanish Edition ,"   January 18, 2023 ", 21.99 , 6.49 ,8 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Masashi Kishimoto,  Naruto: Kakashi's Story―The Sixth Hokage and the Failed Prince (Naruto Novels) ,"   July 26, 2022 ", 10.99 , 6.49 ,191 ,"Masashi Kishimoto, ,Author/artist Masashi Kishimoto was born in 1974 in rural Okayama Prefecture, Japan. After spending time in art college, he won the Hop Step Award for new manga artists with his manga ,Karakuri, (Mechanism). Kishimoto decided to base his next story on traditional Japanese culture. His first version of ,Naruto,, drawn in 1997, was a one-shot story about fox spirits; his final version, which debuted in ,Weekly Shonen Jump, in 1999, quickly became the most popular ninja manga in Japan., ,Jun Esaka, ,Born February 13 in Kanagawa Prefecture. Blood type O. After graduating from Waseda University, he began working as a writer.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Claudio Nocelli,  THE NAVIGATOR WHO CROSSED THE ICE WALLS: WORLDS BEYOND THE ANTARCTICA ,"   April 18, 2022 ", 15.29 ,,531 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 1 ,"   December 14, 2021 ", 7.76 , 8.99 ,"5,228 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",
Mo Xiang Tong Xiu,  Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2 ,"   February 15, 2022 ", 17.99 , 8.99 ,"4,462 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
